Date,Region,Temperature,Humidity,Wind,Visibility,Pressure,Sales
15-09-2020,Reg1,10.24881422,0.779163718,11.50912978,14.50340284,1017.293917,991.6
14-09-2020,Reg1,10.33759482,0.908548772,7.432656466,2.232960257,1019.452636,1858.59
13-09-2020,Reg1,20.76368588,0.505323887,7.788249442,4.779211041,1022.677119,3.99
12-09-2020,Reg1,21.5008923,0.758557022,3.767432348,9.904533559,1009.341357,3090.78
11-09-2020,Reg1,21.77426884,0.398295611,20.70536906,15.22460484,1015.713234,990.99
10-09-2020,Reg1,23.08157327,0.474680066,10.06824688,5.599501094,1022.669635,31.93
09-09-2020,Reg1,25.43222082,0.694648087,4.354450435,8.806337112,1009.041174,3353.17
08-09-2020,Reg1,25.49327818,0.428529352,18.17679755,14.40620719,1014.294212,1584.29
07-09-2020,Reg1,23.4721564,0.464102387,8.725919004,4.130201882,1020.738999,107.6
06-09-2020,Reg1,24.45115658,0.686122298,6.219997901,10.34483799,1010.94655,3108.91
05-09-2020,Reg1,25.49462479,0.401803583,19.30895728,14.12351125,1016.49316,960.01
04-09-2020,Reg1,25.67383798,0.500355184,10.79612556,6.519813401,1018.567744,415.47
03-09-2020,Reg1,25.63246099,0.729752243,5.673292981,6.917612725,1011.557955,2996.02
02-09-2020,Reg1,27.47496563,0.457070917,18.55791773,12.07645481,1014.519739,951.63
01-09-2020,Reg1,26.80428763,0.497144818,16.01588661,7.657316968,1014.169287,1298.16
31-08-2020,Reg1,26.31325697,0.430326521,18.46423141,10.12981838,1014.248745,1106.16
30-08-2020,Reg1,25.96356148,0.416923881,22.59836286,14.37599308,1013.505181,1496.54
29-08-2020,Reg1,24.10084298,0.418283969,15.56233613,4.66073837,1021.252671,170.41
28-08-2020,Reg1,25.26312193,0.649281025,10.38145247,8.382195812,1011.491033,2889.31
27-08-2020,Reg1,25.90009053,0.381037116,21.88064787,10.71731927,1018.317706,678.56
26-08-2020,Reg1,27.61484014,0.443475366,15.1514347,7.010298091,1017.062777,744.71
25-08-2020,Reg1,28.14563627,0.514234781,15.40436226,10.65079259,1011.90323,2334.22
